"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1990","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","350000",""
"United States of America","1989","Total","January","Data tabulated by year of occurrence","Final figure, complete","1991","320422",""
"United States of America","1989","Total","February","Data tabulated by year of occurrence","Final figure, complete","1991","308391",""
"United States of America","1989","Total","March","Data tabulated by year of occurrence","Final figure, complete","1991","339912",""
"United States of America","1989","Total","April","Data tabulated by year of occurrence","Final figure, complete","1991","318779",""
"United States of America","1989","Total","May","Data tabulated by year of occurrence","Final figure, complete","1991","336320",""
"United States of America","1989","Total","June","Data tabulated by year of occurrence","Final figure, complete","1991","330973",""
"United States of America","1989","Total","July","Data tabulated by year of occurrence","Final figure, complete","1991","356716",""
"United States of America","1989","Total","August","Data tabulated by year of occurrence","Final figure, complete","1991","366579",""
"United States of America","1989","Total","September","Data tabulated by year of occurrence","Final figure, complete","1991","357344",""
"United States of America","1989","Total","October","Data tabulated by year of occurrence","Final figure, complete","1991","344161",""
"United States of America","1989","Total","November","Data tabulated by year of occurrence","Final figure, complete","1991","325543",""
"United States of America","1989","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","335818",""
"United States of America","1988","Total","January","Data tabulated by year of occurrence","Final figure, complete","1990","310214",""
"United States of America","1988","Total","February","Data tabulated by year of occurrence","Final figure, complete","1990","298464",""
"United States of America","1988","Total","March","Data tabulated by year of occurrence","Final figure, complete","1990","321920",""
"United States of America","1988","Total","April","Data tabulated by year of occurrence","Final figure, complete","1990","309185",""
"United States of America","1988","Total","May","Data tabulated by year of occurrence","Final figure, complete","1990","325953",""
"United States of America","1988","Total","June","Data tabulated by year of occurrence","Final figure, complete","1990","328868",""
"United States of America","1988","Total","July","Data tabulated by year of occurrence","Final figure, complete","1990","346417",""
"United States of America","1988","Total","August","Data tabulated by year of occurrence","Final figure, complete","1990","354165",""
"United States of America","1988","Total","September","Data tabulated by year of occurrence","Final figure, complete","1990","346855",""
"United States of America","1988","Total","October","Data tabulated by year of occurrence","Final figure, complete","1990","331220",""
"United States of America","1988","Total","November","Data tabulated by year of occurrence","Final figure, complete","1990","314321",""
"United States of America","1988","Total","December","Data tabulated by year of occurrence","Final figure, complete","1990","321928",""
"United States of America","1987","Total","January","Data tabulated by year of occurrence","Final figure, complete","1990","305069",""
"United States of America","1987","Total","February","Data tabulated by year of occurrence","Final figure, complete","1990","283477",""
"United States of America","1987","Total","March","Data tabulated by year of occurrence","Final figure, complete","1990","317462",""
"United States of America","1987","Total","April","Data tabulated by year of occurrence","Final figure, complete","1990","307768",""
"United States of America","1987","Total","May","Data tabulated by year of occurrence","Final figure, complete","1990","319784",""
"United States of America","1987","Total","June","Data tabulated by year of occurrence","Final figure, complete","1990","321024",""
"United States of America","1987","Total","July","Data tabulated by year of occurrence","Final figure, complete","1990","336381",""
"United States of America","1987","Total","August","Data tabulated by year of occurrence","Final figure, complete","1990","331351",""
"United States of America","1987","Total","September","Data tabulated by year of occurrence","Final figure, complete","1990","334058",""
"United States of America","1987","Total","October","Data tabulated by year of occurrence","Final figure, complete","1990","326392",""
"United States of America","1987","Total","November","Data tabulated by year of occurrence","Final figure, complete","1990","306346",""
"United States of America","1987","Total","December","Data tabulated by year of occurrence","Final figure, complete","1990","320282",""
"United States of America","1986","Total","January","Data tabulated by year of occurrence","Final figure, complete","1988","306183",""
"United States of America","1986","Total","February","Data tabulated by year of occurrence","Final figure, complete","1988","282526",""
"United States of America","1986","Total","March","Data tabulated by year of occurrence","Final figure, complete","1988","312394",""
"United States of America","1986","Total","April","Data tabulated by year of occurrence","Final figure, complete","1988","304103",""
"United States of America","1986","Total","May","Data tabulated by year of occurrence","Final figure, complete","1988","315975",""
"United States of America","1986","Total","June","Data tabulated by year of occurrence","Final figure, complete","1988","307668",""
"United States of America","1986","Total","July","Data tabulated by year of occurrence","Final figure, complete","1988","334499",""
"United States of America","1986","Total","August","Data tabulated by year of occurrence","Final figure, complete","1988","333875",""
"United States of America","1986","Total","September","Data tabulated by year of occurrence","Final figure, complete","1988","334196",""
"United States of America","1986","Total","October","Data tabulated by year of occurrence","Final figure, complete","1988","319134",""
"United States of America","1986","Total","November","Data tabulated by year of occurrence","Final figure, complete","1988","293252",""
"United States of America","1986","Total","December","Data tabulated by year of occurrence","Final figure, complete","1988","312742",""
"United States of America","1985","Total","January","Data tabulated by year of occurrence","Final figure, complete","1987","304073",""
"United States of America","1985","Total","February","Data tabulated by year of occurrence","Final figure, complete","1987","281261",""
"United States of America","1985","Total","March","Data tabulated by year of occurrence","Final figure, complete","1987","310679",""
"United States of America","1985","Total","April","Data tabulated by year of occurrence","Final figure, complete","1987","301777",""
"United States of America","1985","Total","May","Data tabulated by year of occurrence","Final figure, complete","1987","317596",""
"United States of America","1985","Total","June","Data tabulated by year of occurrence","Final figure, complete","1987","308477",""
"United States of America","1985","Total","July","Data tabulated by year of occurrence","Final figure, complete","1987","333484",""
"United States of America","1985","Total","August","Data tabulated by year of occurrence","Final figure, complete","1987","336575",""
"United States of America","1985","Total","September","Data tabulated by year of occurrence","Final figure, complete","1987","331283",""
"United States of America","1985","Total","October","Data tabulated by year of occurrence","Final figure, complete","1987","322997",""
"United States of America","1985","Total","November","Data tabulated by year of occurrence","Final figure, complete","1987","301551",""
"United States of America","1985","Total","December","Data tabulated by year of occurrence","Final figure, complete","1987","310808",""
"United States of America","1984","Total","January","Data tabulated by year of occurrence","Final figure, complete","1986","292200",""
"United States of America","1984","Total","February","Data tabulated by year of occurrence","Final figure, complete","1986","281564",""
"United States of America","1984","Total","March","Data tabulated by year of occurrence","Final figure, complete","1986","303970",""
"United States of America","1984","Total","April","Data tabulated by year of occurrence","Final figure, complete","1986","285823",""
"United States of America","1984","Total","May","Data tabulated by year of occurrence","Final figure, complete","1986","299395",""
"United States of America","1984","Total","June","Data tabulated by year of occurrence","Final figure, complete","1986","298889",""
"United States of America","1984","Total","July","Data tabulated by year of occurrence","Final figure, complete","1986","325516",""
"United States of America","1984","Total","August","Data tabulated by year of occurrence","Final figure, complete","1986","335222",""
"United States of America","1984","Total","September","Data tabulated by year of occurrence","Final figure, complete","1986","326454",""
"United States of America","1984","Total","October","Data tabulated by year of occurrence","Final figure, complete","1986","321371",""
"United States of America","1984","Total","November","Data tabulated by year of occurrence","Final figure, complete","1986","296816",""
"United States of America","1984","Total","December","Data tabulated by year of occurrence","Final figure, complete","1986","301921",""
"United States of America","1983","Total","January","Data tabulated by year of occurrence","Final figure, complete","1986","297750",""
"United States of America","1983","Total","February","Data tabulated by year of occurrence","Final figure, complete","1986","276981",""
"United States of America","1983","Total","March","Data tabulated by year of occurrence","Final figure, complete","1986","310928",""
"United States of America","1983","Total","April","Data tabulated by year of occurrence","Final figure, complete","1986","293920",""
"United States of America","1983","Total","May","Data tabulated by year of occurrence","Final figure, complete","1986","303224",""
"United States of America","1983","Total","June","Data tabulated by year of occurrence","Final figure, complete","1986","303957",""
"United States of America","1983","Total","July","Data tabulated by year of occurrence","Final figure, complete","1986","317969",""
"United States of America","1983","Total","August","Data tabulated by year of occurrence","Final figure, complete","1986","323960",""
"United States of America","1983","Total","September","Data tabulated by year of occurrence","Final figure, complete","1986","314468",""
"United States of America","1983","Total","October","Data tabulated by year of occurrence","Final figure, complete","1986","305777",""
"United States of America","1983","Total","November","Data tabulated by year of occurrence","Final figure, complete","1986","290944",""
"United States of America","1983","Total","December","Data tabulated by year of occurrence","Final figure, complete","1986","299055",""
"United States of America","1982","Total","January","Data tabulated by year of occurrence","Final figure, complete","1983","311000",""
"United States of America","1982","Total","February","Data tabulated by year of occurrence","Final figure, complete","1983","281000",""
"United States of America","1982","Total","March","Data tabulated by year of occurrence","Final figure, complete","1983","298000",""
"United States of America","1982","Total","April","Data tabulated by year of occurrence","Final figure, complete","1983","287000",""
"United States of America","1982","Total","May","Data tabulated by year of occurrence","Final figure, complete","1983","305000",""
"United States of America","1982","Total","June","Data tabulated by year of occurrence","Final figure, complete","1983","302000",""
"United States of America","1982","Total","July","Data tabulated by year of occurrence","Final figure, complete","1983","339000",""
"United States of America","1982","Total","August","Data tabulated by year of occurrence","Final figure, complete","1983","323000",""
"United States of America","1982","Total","September","Data tabulated by year of occurrence","Final figure, complete","1983","315000",""
"United States of America","1982","Total","October","Data tabulated by year of occurrence","Final figure, complete","1983","323000",""
"United States of America","1982","Total","November","Data tabulated by year of occurrence","Final figure, complete","1983","300000",""
"United States of America","1982","Total","December","Data tabulated by year of occurrence","Final figure, complete","1983","320000",""
"United States of America","1981","Total","January","Data tabulated by year of occurrence","Final figure, complete","1983","294632",""
"United States of America","1981","Total","February","Data tabulated by year of occurrence","Final figure, complete","1983","273234",""
"United States of America","1981","Total","March","Data tabulated by year of occurrence","Final figure, complete","1983","301691",""
"United States of America","1981","Total","April","Data tabulated by year of occurrence","Final figure, complete","1983","285578",""
"United States of America","1981","Total","May","Data tabulated by year of occurrence","Final figure, complete","1983","296323",""
"United States of America","1981","Total","June","Data tabulated by year of occurrence","Final figure, complete","1983","297935",""
"United States of America","1981","Total","July","Data tabulated by year of occurrence","Final figure, complete","1983","326182",""
"United States of America","1981","Total","August","Data tabulated by year of occurrence","Final figure, complete","1983","329870",""
"United States of America","1981","Total","September","Data tabulated by year of occurrence","Final figure, complete","1983","319971",""
"United States of America","1981","Total","October","Data tabulated by year of occurrence","Final figure, complete","1983","309106",""
"United States of America","1981","Total","November","Data tabulated by year of occurrence","Final figure, complete","1983","290843",""
"United States of America","1981","Total","December","Data tabulated by year of occurrence","Final figure, complete","1983","303873",""
"United States of America","1980","Total","January","Data tabulated by year of occurrence","Final figure, complete","1982","292009",""
"United States of America","1980","Total","February","Data tabulated by year of occurrence","Final figure, complete","1982","279961",""
"United States of America","1980","Total","March","Data tabulated by year of occurrence","Final figure, complete","1982","297309",""
"United States of America","1980","Total","April","Data tabulated by year of occurrence","Final figure, complete","1982","286780",""
"United States of America","1980","Total","May","Data tabulated by year of occurrence","Final figure, complete","1982","293687",""
"United States of America","1980","Total","June","Data tabulated by year of occurrence","Final figure, complete","1982","293018",""
"United States of America","1980","Total","July","Data tabulated by year of occurrence","Final figure, complete","1982","321836",""
"United States of America","1980","Total","August","Data tabulated by year of occurrence","Final figure, complete","1982","323129",""
"United States of America","1980","Total","September","Data tabulated by year of occurrence","Final figure, complete","1982","320536",""
"United States of America","1980","Total","October","Data tabulated by year of occurrence","Final figure, complete","1982","311312",""
"United States of America","1980","Total","November","Data tabulated by year of occurrence","Final figure, complete","1982","289580",""
"United States of America","1980","Total","December","Data tabulated by year of occurrence","Final figure, complete","1982","303101",""
"United States of America","1979","Total","January","Data tabulated by year of occurrence","Final figure, complete","1991","284463",""
"United States of America","1979","Total","February","Data tabulated by year of occurrence","Final figure, complete","1991","260981",""
"United States of America","1979","Total","March","Data tabulated by year of occurrence","Final figure, complete","1991","288637",""
"United States of America","1979","Total","April","Data tabulated by year of occurrence","Final figure, complete","1991","271159",""
"United States of America","1979","Total","May","Data tabulated by year of occurrence","Final figure, complete","1991","287126",""
"United States of America","1979","Total","June","Data tabulated by year of occurrence","Final figure, complete","1991","282277",""
"United States of America","1979","Total","July","Data tabulated by year of occurrence","Final figure, complete","1991","311157",""
"United States of America","1979","Total","August","Data tabulated by year of occurrence","Final figure, complete","1991","318023",""
"United States of America","1979","Total","September","Data tabulated by year of occurrence","Final figure, complete","1991","306666",""
"United States of America","1979","Total","October","Data tabulated by year of occurrence","Final figure, complete","1991","304119",""
"United States of America","1979","Total","November","Data tabulated by year of occurrence","Final figure, complete","1991","288271",""
"United States of America","1979","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","291519",""
"United States of America","1978","Total","January","Data tabulated by year of occurrence","Final figure, complete","1979","270695",""
"United States of America","1978","Total","February","Data tabulated by year of occurrence","Final figure, complete","1979","249898",""
"United States of America","1978","Total","March","Data tabulated by year of occurrence","Final figure, complete","1979","276584",""
"United States of America","1978","Total","April","Data tabulated by year of occurrence","Final figure, complete","1979","254585",""
"United States of America","1978","Total","May","Data tabulated by year of occurrence","Final figure, complete","1979","270818",""
"United States of America","1978","Total","June","Data tabulated by year of occurrence","Final figure, complete","1979","270704",""
"United States of America","1978","Total","July","Data tabulated by year of occurrence","Final figure, complete","1979","294704",""
"United States of America","1978","Total","August","Data tabulated by year of occurrence","Final figure, complete","1979","302805",""
"United States of America","1978","Total","September","Data tabulated by year of occurrence","Final figure, complete","1979","293903",""
"United States of America","1978","Total","October","Data tabulated by year of occurrence","Final figure, complete","1979","288965",""
"United States of America","1978","Total","November","Data tabulated by year of occurrence","Final figure, complete","1979","274679",""
"United States of America","1978","Total","December","Data tabulated by year of occurrence","Final figure, complete","1979","284939",""
"United States of America","1975","Total","January","Data tabulated by year of occurrence","Final figure, complete","1976","259173",""
"United States of America","1975","Total","February","Data tabulated by year of occurrence","Final figure, complete","1976","238153",""
"United States of America","1975","Total","March","Data tabulated by year of occurrence","Final figure, complete","1976","261608",""
"United States of America","1975","Total","April","Data tabulated by year of occurrence","Final figure, complete","1976","250992",""
"United States of America","1975","Total","May","Data tabulated by year of occurrence","Final figure, complete","1976","261572",""
"United States of America","1975","Total","June","Data tabulated by year of occurrence","Final figure, complete","1976","255734",""
"United States of America","1975","Total","July","Data tabulated by year of occurrence","Final figure, complete","1976","279744",""
"United States of America","1975","Total","August","Data tabulated by year of occurrence","Final figure, complete","1976","279937",""
"United States of America","1975","Total","September","Data tabulated by year of occurrence","Final figure, complete","1976","273750",""
"United States of America","1975","Total","October","Data tabulated by year of occurrence","Final figure, complete","1976","267841",""
"United States of America","1975","Total","November","Data tabulated by year of occurrence","Final figure, complete","1976","249907",""
"United States of America","1975","Total","December","Data tabulated by year of occurrence","Final figure, complete","1976","265787",""
"United States of America","1974","Total","January","Data tabulated by year of occurrence","Final figure, complete","1976","257455",""
"United States of America","1974","Total","February","Data tabulated by year of occurrence","Final figure, complete","1976","236551",""
"United States of America","1974","Total","March","Data tabulated by year of occurrence","Final figure, complete","1976","257951",""
"United States of America","1974","Total","April","Data tabulated by year of occurrence","Final figure, complete","1976","246469",""
"United States of America","1974","Total","May","Data tabulated by year of occurrence","Final figure, complete","1976","256986",""
"United States of America","1974","Total","June","Data tabulated by year of occurrence","Final figure, complete","1976","250525",""
"United States of America","1974","Total","July","Data tabulated by year of occurrence","Final figure, complete","1976","279630",""
"United States of America","1974","Total","August","Data tabulated by year of occurrence","Final figure, complete","1976","286496",""
"United States of America","1974","Total","September","Data tabulated by year of occurrence","Final figure, complete","1976","283718",""
"United States of America","1974","Total","October","Data tabulated by year of occurrence","Final figure, complete","1976","280280",""
"United States of America","1974","Total","November","Data tabulated by year of occurrence","Final figure, complete","1976","258011",""
"United States of America","1974","Total","December","Data tabulated by year of occurrence","Final figure, complete","1976","265886",""
"United States of America","1973","Total","January","Data tabulated by year of occurrence","Final figure, complete","1975","265775",""
"United States of America","1973","Total","February","Data tabulated by year of occurrence","Final figure, complete","1975","241045",""
"United States of America","1973","Total","March","Data tabulated by year of occurrence","Final figure, complete","1975","268849",""
"United States of America","1973","Total","April","Data tabulated by year of occurrence","Final figure, complete","1975","247455",""
"United States of America","1973","Total","May","Data tabulated by year of occurrence","Final figure, complete","1975","254545",""
"United States of America","1973","Total","June","Data tabulated by year of occurrence","Final figure, complete","1975","254096",""
"United States of America","1973","Total","July","Data tabulated by year of occurrence","Final figure, complete","1975","275163",""
"United States of America","1973","Total","August","Data tabulated by year of occurrence","Final figure, complete","1975","281300",""
"United States of America","1973","Total","September","Data tabulated by year of occurrence","Final figure, complete","1975","270738",""
"United States of America","1973","Total","October","Data tabulated by year of occurrence","Final figure, complete","1975","265494",""
"United States of America","1973","Total","November","Data tabulated by year of occurrence","Final figure, complete","1975","251973",""
"United States of America","1973","Total","December","Data tabulated by year of occurrence","Final figure, complete","1975","260532",""
"United States of America","1972","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","275912",""
"United States of America","1972","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","262305",""
"United States of America","1972","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","273054",""
"United States of America","1972","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","254538",""
"United States of America","1972","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","269698",""
"United States of America","1972","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","259620",""
"United States of America","1972","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","277654",""
"United States of America","1972","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","287834",""
"United States of America","1972","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","282333",""
"United States of America","1972","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","275130",""
"United States of America","1972","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","263987",""
"United States of America","1972","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","276346",""
"United States of America","1971","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","312190",""
"United States of America","1971","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","283444",""
"United States of America","1971","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","307718",""
"United States of America","1971","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","285730",""
"United States of America","1971","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","284332",""
"United States of America","1971","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","284944",""
"United States of America","1971","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","304912",""
"United States of America","1971","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","312416",""
"United States of America","1971","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","310822",""
"United States of America","1971","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","302542",""
"United States of America","1971","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","281112",""
"United States of America","1971","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","285808",""
"United States of America","1970","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","301870",""
"United States of America","1970","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","281100",""
"United States of America","1970","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","307068",""
"United States of America","1970","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","286624",""
"United States of America","1970","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","297648",""
"United States of America","1970","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","302798",""
"United States of America","1970","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","329904",""
"United States of America","1970","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","330712",""
"United States of America","1970","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","331830",""
"United States of America","1970","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","323764",""
"United States of America","1970","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","309012",""
"United States of America","1970","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","329056",""
"United States of America","1969","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","293940",""
"United States of America","1969","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","270786",""
"United States of America","1969","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","296550",""
"United States of America","1969","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","282638",""
"United States of America","1969","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","289124",""
"United States of America","1969","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","291610",""
"United States of America","1969","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","318356",""
"United States of America","1969","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","321034",""
"United States of America","1969","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","312620",""
"United States of America","1969","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","311972",""
"United States of America","1969","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","297054",""
"United States of America","1969","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","314522",""

